year,month,national,local
2023,October,77.0,55.0
2022,October,78.0,56.0
2021,October,74.0,51.0
2020,October,78.0,38.0
2019,October,64.0,43.0
2018,October,60.0,39.0
2017,October,68.0,40.0
2016,October,70.0,45.0
2015,October,70.0,46.0
2014,October,63.0,44.0
2013,October,64.0,41.0
2011,October,68.0,48.0
2010,October,66.0,49.0
2009,October,74.0,51.0
2008,October,67.0,44.0
2007,October,71.0,51.0
2006,October,68.0,51.0
2005,October,67.0,47.0
2004,October,53.0,37.0
2003,October,60.0,40.0
2002,October,62.0,37.0
2001,October,41.0,26.0
2000,September,47.0,34.0
1998,October,52.0,31.0
1997,August,64.0,46.0
1996,July,71.0,46.0
1993,October,87.0,
1992,March,89.0,54.0
1990,September,84.0,51.0
1989,June,84.0,53.0
1989,January,,47.0
1983,January,,37.0
1981,January,,54.0
1977,November,,43.0
1975,June,,50.0
1972,December,,51.0
