port_code,port_name,state,year,month,mode,count
2302.0,Del Rio,Texas,2023,12,Truck,6552.0
2310.0,Roma,Texas,2023,11,Truck,3753.0
2305.0,Hidalgo,Texas,2023,8,Truck,59677.0
2310.0,Roma,Texas,2023,7,Bus,949.0
2310.0,Roma,Texas,2023,2,Truck,3179.0
2602.0,Lukeville,Arizona,2013,10,Truck,17.0
2310.0,Roma,Texas,2013,8,Bus,702.0
2404.0,Tornillo,Texas,2013,3,Truck,0.0
2606.0,Sasabe,Arizona,2003,8,Truck,89.0
2402.0,El Paso,Texas,2023,10,Pedestrian,399812.0
2307.0,Rio Grande City,Texas,2023,12,Pedestrian,5697.0
2502.0,Andrade,California,2023,5,Personal Vehicle,84454.0
2608.0,San Luis,Arizona,2023,11,Bus,2.0
2302.0,Del Rio,Texas,2023,5,Personal Vehicle,261653.0
2303.0,Eagle Pass,Texas,2023,10,Personal Vehicle,425742.0
2302.0,Del Rio,Texas,2023,10,Bus,82.0
2608.0,San Luis,Arizona,2023,7,Bus,11.0
2406.0,Columbus,New Mexico,2023,2,Personal Vehicle,53243.0
2310.0,Roma,Texas,2023,6,Bus,698.0
2403.0,Presidio,Texas,2023,5,Personal Vehicle,117727.0
2608.0,San Luis,Arizona,2023,9,Personal Vehicle,398705.0
2502.0,Andrade,California,2023,6,Pedestrian,38672.0
2408.0,Santa Teresa,New Mexico,2023,12,Personal Vehicle,162092.0
2505.0,Tecate,California,2023,9,Personal Vehicle,147568.0
2506.0,Otay Mesa,California,2023,11,Train,2.0
2504.0,San Ysidro,California,2023,9,Pedestrian,565561.0
2408.0,Santa Teresa,New Mexico,2023,1,Truck,12755.0
2507.0,Calexico East,California,2023,10,Pedestrian,51214.0
2309.0,Progreso,Texas,2023,6,Pedestrian,79286.0
2305.0,Hidalgo,Texas,2023,10,Bus,16955.0
2608.0,San Luis,Arizona,2023,7,Pedestrian,131662.0
2301.0,Brownsville,Texas,2023,5,Bus,889.0
2582.0,Cross Border Xpress,California,2023,1,Pedestrian,228403.0
2507.0,Calexico East,California,2023,6,Train,22.0
2303.0,Eagle Pass,Texas,2023,7,Personal Vehicle,546249.0
2403.0,Presidio,Texas,2023,9,Bus,209.0
2504.0,San Ysidro,California,2023,1,Bus,23265.0
2503.0,Calexico,California,2023,7,Personal Vehicle,711125.0
