entity,continent,year,happiness,gdp_per_capita,population
Afghanistan,Asia,2020,2.5229,1968.341,39068978
Albania,Europe,2020,5.1174,13278.435,2871951
Algeria,Africa,2020,4.8871,10844.7705,44042093
Argentina,South America,2020,5.9293,19694.56,45191960
Armenia,Asia,2020,5.2826,13357.697,2890894
Australia,Oceania,2020,7.1835,48651.734,25743787
Austria,Europe,2020,7.2678,51854.75,8921402
Azerbaijan,Asia,2020,5.1708,13726.77,10181736
Bahrain,Asia,2020,6.6469,47994.414,1483081
Bangladesh,Asia,2020,5.0246,5591.3735,166298024
Belarus,Europe,2020,5.5335,19239.553,9350943
Belgium,Europe,2020,6.834,49030.992,11540103
Benin,Africa,2020,5.0452,3186.486,13070170
Bolivia,South America,2020,5.7159,7679.933,11816300
Bosnia and Herzegovina,Europe,2020,5.8131,14587.57,3299352
Botswana,Africa,2020,3.4665,13545.048,2365895
Brazil,South America,2020,6.3301,14109.764,208660845
Bulgaria,Europe,2020,5.2655,22466.918,6933654
Burkina Faso,Africa,2020,4.8338,2089.5679,21478692
Burundi,Africa,2020,3.7753,711.3553,12617042
Cambodia,Asia,2020,4.8304,4276.1846,16725482
Cameroon,Africa,2020,5.1418,3665.5105,26210566
Canada,North America,2020,7.1033,46193.176,38171901
Chad,Africa,2020,4.3554,1489.1868,17224685
Chile,South America,2020,6.1719,22970.55,19370619
China,Asia,2020,5.3391,16296.609,1426106083
Colombia,South America,2020,6.0124,13358.298,50629997
Comoros,Africa,2020,4.2886,3222.374,802172
Congo,Africa,2020,5.3417,3748.9326,5752791
Costa Rica,North America,2020,7.0694,19778.387,5034323
Cote d'Ivoire,Africa,2020,5.306,5092.1636,28915452
Croatia,Europe,2020,5.8817,27002.2,3953957
Cyprus,Europe,2020,6.2235,39871.87,1302250
Czechia,Europe,2020,6.9647,38639.98,10550130
Denmark,Europe,2020,7.6195,55275.062,5831530
Dominican Republic,North America,2020,5.5451,16768.426,11008297
Ecuador,South America,2020,5.764,10356.975,17546058
Egypt,Africa,2020,4.2827,11989.6,109315119
